Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
2	4	-8690.5	80.49	116.04	122.01	36.35	167.76	48.68	73.2	62.02	59.7	109.08	23.97	82.25	80.49	80.49	87.52	3.52	1.57	1.69	0.6	2.31	0.71	Square_5
2	4	-10453.5	77.58	126.78	130.42	43.6	177.26	48.72	80.25	71.43	66.83	111.29	20.98	83.11	77.58	77.58	99.71	11.07	1.57	1.67	0.62	2.32	0.72	Square_5
2	3	-2142	56.39	86.85	108.58	39.6	112.38	40.97	51.66	42.95	39.56	72.47	18.1	56.39	56.39	56.39	56.39	0	2.09	2.62	1	2.67	0.95	Rectangle_3
2	3	-2128	56.08	85.86	104.81	40.61	112.16	39.36	50.9	44.06	37.55	71.09	17.78	56.08	56.08	56.08	56.08	0	2.09	2.58	1.03	2.67	0.92	Rectangle_3
2	3	-3448.5	84.28	125.24	165.92	41.68	168.12	72.38	76.18	60.07	57.99	110.48	29.72	84.28	84.28	84.28	84.28	0	2.09	2.77	0.72	2.79	1.19	Rectangle_5
2	3	-3695	84.44	126.43	167.11	44.55	167.63	70.91	76.6	59.86	59.37	110.59	29.43	84.44	84.44	84.44	84.44	0	2.09	2.76	0.77	2.76	1.15	Rectangle_5
2	3	-4813.5	70.2	113.78	122.78	78.72	139.85	31.54	65.96	63.63	50.54	83.71	16.71	70.2	70.2	70.2	70.2	0	2.09	2.28	1.51	2.49	0.52	Circle_4
2	3	-4729.5	69.35	112.95	125.14	76.3	137.41	32.33	65.6	61.23	51.73	83.84	16.5	69.35	69.35	69.35	69.35	0	2.09	2.33	1.48	2.48	0.54	Circle_4
2	3	-5210	68.19	114.2	123.23	87.32	132.06	23.7	66.1	62.31	55.96	80.02	12.47	68.19	68.19	68.19	68.19	0	2.09	2.25	1.66	2.37	0.38	Square_4
2	4	-9900.5	78.35	119.47	136.08	39.05	159.54	44.38	74.98	68.91	57.35	104.74	21.48	80.01	78.35	78.35	84.98	3.31	1.57	1.76	0.67	2.1	0.63	Square_4
2	3	-4984	79.37	124.58	147.72	67.62	158.39	49.61	73.2	64.55	55.48	99.58	23.29	79.37	79.37	79.37	79.37	0	2.09	2.5	1.19	2.6	0.79	Circle_5
2	3	-4302	79.79	123.02	154.16	56.08	158.82	58.02	73.18	60.53	56.36	102.65	25.6	79.79	79.79	79.79	79.79	0	2.09	2.62	1	2.66	0.95	Circle_5
2	3	-4147	62.11	102.43	102.11	81.74	123.43	20.85	59.09	60.93	45.92	70.43	12.36	62.11	62.11	62.11	62.11	0	2.09	2.12	1.73	2.44	0.36	Triangle_5
2	3	-3949.5	59.08	99.02	103.75	78.06	115.25	19.04	57.24	55.76	47.65	68.31	10.41	59.08	59.08	59.08	59.08	0	2.09	2.2	1.71	2.38	0.35	Triangle_5
2	3	-3191.5	52.1	88.2	94.58	71.03	99.01	15.04	51	48.02	44.94	60.05	7.98	52.1	52.1	52.1	52.1	0	2.09	2.23	1.74	2.31	0.31	Triangle_4
2	3	-3188.5	56.85	92.98	106.61	61.2	111.13	27.61	54.11	48.1	44.56	69.67	13.59	56.85	56.85	56.85	56.85	0	2.09	2.39	1.44	2.45	0.57	Triangle_4
2	3	-4212	60.03	101.45	107.3	81.79	115.26	17.49	58.65	56.21	50.68	69.05	9.42	60.03	60.03	60.03	60.03	0	2.09	2.21	1.74	2.33	0.31	Square_3
2	3	-4112	56.62	97.75	95.08	94.34	103.81	5.27	56.43	58.04	52.82	58.44	3.14	56.62	56.62	56.62	56.62	0	2.09	2.05	2.03	2.2	0.09	Square_3
2	3	-2174	43.15	72.87	76.22	59.14	83.26	12.4	42.11	40.89	36.02	49.42	6.78	43.15	43.15	43.15	43.15	0	2.09	2.19	1.75	2.34	0.31	Triangle_3
2	3	-2093	47.22	74.89	72.57	57.72	94.37	18.43	43.09	46.2	30.35	52.72	11.5	47.22	47.22	47.22	47.22	0	2.09	2.08	1.67	2.53	0.43	Triangle_3
2	3	-1240	158.94	113.14	137.61	34.18	167.62	70.01	68.2	66.33	36.69	101.6	32.5	158.94	158.94	158.94	158.94	0	2.09	2.92	0.35	3.02	1.51	Rectangle_4
2	3	-3259	71.71	109.57	138.44	47.2	143.06	54.06	65.43	53.98	49.8	92.52	23.55	71.71	71.71	71.71	71.71	0	2.09	2.65	0.94	2.69	1	Rectangle_4
2	3	-2544	58.55	90.21	105.22	48.37	117.05	36.71	52.97	48.31	38.19	72.42	17.59	58.55	58.55	58.55	58.55	0	2.09	2.48	1.17	2.64	0.81	Circle_3
2	3	-2512.5	53.92	86.32	104.45	49.34	105.17	32.03	50.62	42.27	41.67	67.91	14.98	53.92	53.92	53.92	53.92	0	2.09	2.51	1.26	2.52	0.73	Circle_3
